node_id,lat,lon,junction_complexity
246171015,12.9589238,77.5827935,3
246171016,12.9577464,77.5821331,4
246397920,12.9722123,77.5940009,4
246397923,12.9767004,77.5993341,4
247852770,12.8962371,77.6080918,3
247852771,12.8970418,77.6071382,3
247852782,12.8983963,77.6058606,3
247852915,12.8765988,77.5951946,4
247958462,12.9573624,77.605108,4
247958463,12.9578962,77.6035678,3
247958465,12.9591388,77.6016934,3
247964652,12.8727397,77.59608,2
247964657,12.8699648,77.5969184,3
247964658,12.8695351,77.5970719,3
247964660,12.8691353,77.5974984,3
247964661,12.872017,77.5963312,4
247964667,12.8718993,77.6007246,3
247964668,12.8718729,77.6012191,3
247964669,12.8717701,77.6022143,3
247964671,12.8676769,77.6009718,3
247964682,12.8761786,77.6026368,3
247965097,12.8655357,77.6004305,3
247965099,12.8654693,77.5991833,3
247965100,12.8653948,77.5982875,3
247965117,12.8673224,77.5979189,3
247965118,12.8676651,77.5979044,3
247965119,12.8679836,77.5979044,3
247966045,12.8768022,77.6016548,5
247966134,12.9584305,77.6037479,4
247966138,12.9581746,77.6044706,3
247966696,12.8816186,77.5959583,4
247966703,12.8815071,77.5970987,3
247966706,12.8813849,77.5973669,3
247966708,12.8812652,77.5976612,3
247966711,12.8811485,77.5979339,3
247966716,12.880996,77.5985393,3
247966719,12.8809458,77.5988763,3
247966721,12.8809159,77.5992298,3
247966724,12.8808641,77.5997674,3
247966726,12.880827,77.6001021,3
247966734,12.8807316,77.601072,4
247966739,12.8805478,77.6018516,3
247966742,12.8804753,77.6022143,4
247966744,12.8803882,77.6025938,3
247966747,12.8803174,77.6029832,3
247966749,12.880237,77.6033202,3
247966752,12.8800898,77.603913,3
247966754,12.8799744,77.6045193,3
247966760,12.8796794,77.6057306,3
247966770,12.8794382,77.607757,3
247966778,12.8792529,77.6089848,3
247966792,12.8781131,77.6025207,3
247966797,12.8783653,77.6025614,3
247966799,12.8787823,77.6026154,3
247966813,12.8794552,77.602347,3
247966830,12.8801122,77.6022097,3
247966834,12.8779784,77.6026296,3
247966848,12.8777726,77.6023963,4
247968982,12.8775271,77.6024086,3
247969020,12.8769409,77.6064914,3
247969035,12.8765622,77.6069751,3
247969071,12.8767983,77.6088686,4
247969081,12.8768856,77.6074838,4
247969147,12.8868974,77.6104514,4
247969171,12.8902873,77.6109694,3
247969183,12.8924723,77.6112818,3
247969197,12.894814,77.6092589,3
247969200,12.8786984,77.609684,3
247972964,12.9059707,77.6017374,4
247974062,12.9070272,77.5993872,3
247974064,12.9069212,77.5990663,3
247974066,12.9061885,77.5966176,3
247974076,12.9063599,77.5883045,3
247974962,12.9084874,77.6003508,3
247974980,12.9168184,77.6000877,3
247984863,12.9557249,77.6533303,3
247989225,12.9161411,77.6169634,3
247989291,12.9524376,77.7000543,3
247991552,12.9266544,77.6005177,4
247991553,12.9284001,77.6005936,3
247991558,12.9481942,77.6026404,3
248003859,12.9557126,77.6047201,1
248003860,12.956553,77.6049215,3
248003861,12.9583155,77.6053275,3
248003862,12.9576278,77.6043334,3
248003863,12.959164,77.6039983,4
248007839,12.9147376,77.5986308,3
248007841,12.9077353,77.5989897,3
248007842,12.9127243,77.5984783,4
248181106,12.9379158,77.5989314,3
248181114,12.9459107,77.5955342,4
248347275,12.8816006,77.5968153,3
248455233,12.9617616,77.5984889,4
248455237,12.9636941,77.6010632,3
248455238,12.9595963,77.6029987,3
248455241,12.9618776,77.6014923,4
248455257,12.9653935,77.6010377,3
248455429,12.9639765,77.6058608,3
248455430,12.9628338,77.6058204,3
248455431,12.960786,77.6051903,3
248455434,12.9616369,77.5989335,3
248455435,12.9619323,77.5988018,3
248455441,12.9621574,77.5944681,4
248455450,12.965192,77.5994906,4
248455451,12.9622565,77.5937165,3
248455457,12.965145,77.5967546,3
248455459,12.9654422,77.6014142,3
248455467,12.9656415,77.6014528,3
248455468,12.9694188,77.6024023,3
248455472,12.9657705,77.6038789,3
248455473,12.9631451,77.601288,4
248455474,12.9629736,77.6021588,3
248455475,12.9628494,77.6030347,3
248455478,12.9623151,77.6042371,4
248455479,12.9621917,77.6048661,4
248455480,12.9620434,77.605534,3
248455481,12.9644708,77.6025215,3
248455482,12.964789,77.6025909,3
248455483,12.9656092,77.602623,3
248455485,12.9719235,77.607036,4
248455487,12.9700672,77.6065559,3
